machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
miro;256;8;8;1;asandPile;ompd;ooo;256;static;cores;square;none;101097;-1;-1
miro;256;16;16;1;asandPile;ompd;ooo;256;static;cores;square;none;76141;-1;-1
miro;256;32;32;1;asandPile;ompd;ooo;256;static;cores;square;none;66085;-1;-1
miro;256;64;64;1;asandPile;ompd;ooo;256;static;cores;square;none;61412;-1;-1
miro;256;8;8;4;asandPile;ompd;ooo;256;static;cores;square;none;33556;-1;-1
miro;256;16;16;4;asandPile;ompd;ooo;256;static;cores;square;none;23165;-1;-1
miro;256;32;32;4;asandPile;ompd;ooo;256;static;cores;square;none;24936;-1;-1
miro;256;64;64;4;asandPile;ompd;ooo;256;static;cores;square;none;25825;-1;-1
miro;256;8;8;8;asandPile;ompd;ooo;256;static;cores;square;none;16423;-1;-1
miro;256;16;16;8;asandPile;ompd;ooo;256;static;cores;square;none;17934;-1;-1
miro;256;32;32;8;asandPile;ompd;ooo;256;static;cores;square;none;20356;-1;-1
miro;256;64;64;8;asandPile;ompd;ooo;256;static;cores;square;none;26905;-1;-1
miro;256;8;8;12;asandPile;ompd;ooo;256;static;cores;square;none;17420;-1;-1
miro;256;16;16;12;asandPile;ompd;ooo;256;static;cores;square;none;16201;-1;-1
miro;256;32;32;12;asandPile;ompd;ooo;256;static;cores;square;none;22346;-1;-1
miro;256;64;64;12;asandPile;ompd;ooo;256;static;cores;square;none;24975;-1;-1
miro;256;8;8;16;asandPile;ompd;ooo;256;static;cores;square;none;21640;-1;-1
miro;256;16;16;16;asandPile;ompd;ooo;256;static;cores;square;none;15849;-1;-1
miro;256;32;32;16;asandPile;ompd;ooo;256;static;cores;square;none;19681;-1;-1
miro;256;64;64;16;asandPile;ompd;ooo;256;static;cores;square;none;26299;-1;-1
miro;256;8;8;20;asandPile;ompd;ooo;256;static;cores;square;none;20334;-1;-1
miro;256;16;16;20;asandPile;ompd;ooo;256;static;cores;square;none;20419;-1;-1
miro;256;32;32;20;asandPile;ompd;ooo;256;static;cores;square;none;17925;-1;-1
miro;256;64;64;20;asandPile;ompd;ooo;256;static;cores;square;none;26751;-1;-1
miro;256;8;8;24;asandPile;ompd;ooo;256;static;cores;square;none;15860;-1;-1
miro;256;16;16;24;asandPile;ompd;ooo;256;static;cores;square;none;20091;-1;-1
miro;256;32;32;24;asandPile;ompd;ooo;256;static;cores;square;none;19599;-1;-1
miro;256;64;64;24;asandPile;ompd;ooo;256;static;cores;square;none;72381;-1;-1
miro;256;8;8;28;asandPile;ompd;ooo;256;static;cores;square;none;17556;-1;-1
miro;256;16;16;28;asandPile;ompd;ooo;256;static;cores;square;none;16751;-1;-1
miro;256;32;32;28;asandPile;ompd;ooo;256;static;cores;square;none;22278;-1;-1
miro;256;64;64;28;asandPile;ompd;ooo;256;static;cores;square;none;31981;-1;-1
miro;256;8;8;32;asandPile;ompd;ooo;256;static;cores;square;none;15186;-1;-1
miro;256;16;16;32;asandPile;ompd;ooo;256;static;cores;square;none;15290;-1;-1
miro;256;32;32;32;asandPile;ompd;ooo;256;static;cores;square;none;22007;-1;-1
miro;256;64;64;32;asandPile;ompd;ooo;256;static;cores;square;none;31671;-1;-1
miro;256;8;8;36;asandPile;ompd;ooo;256;static;cores;square;none;27553;-1;-1
miro;256;16;16;36;asandPile;ompd;ooo;256;static;cores;square;none;36161;-1;-1
miro;256;32;32;36;asandPile;ompd;ooo;256;static;cores;square;none;32950;-1;-1
miro;256;64;64;36;asandPile;ompd;ooo;256;static;cores;square;none;230171;-1;-1
miro;256;8;8;40;asandPile;ompd;ooo;256;static;cores;square;none;58816;-1;-1
miro;256;16;16;40;asandPile;ompd;ooo;256;static;cores;square;none;181629;-1;-1
